countryName,population,area
Finland,5536146,338455
Italy,60317116,301340
France,67399000,640679
Russia,146748590,17125191
Germany,83166711,357022
Monaco,38300,2
Brazil,210147125,8515767
Denmark,5837213,42933
United Kingdom,67886004,242495
Spain,47450795,505990
Mexico,126014024,1972550
Canada,38048738,9984670
Thailand,66558935,513120
Netherlands,17469635,41865
Australia,25772100,7692024
Austria,8935112,83879
Hungary,9769526,83030
Belgium,11492641,30689
Portugal,10295909,92212
Turkey,83613362,783356
Bahrain,1569446,780
United Arab Emirates,9890400,83600
