Bahrain Grand Prix,1,16,5/7/2020
Hungarian Grand Prix,2,96,3/3/2020
Emilia Romagna Grand Prix,3,80,2/22/2020
Turkish Grand Prix,4,39,1/31/2020
Turkish Grand Prix,5,16,2/4/2020
70th Anniversary Grand Prix,6,60,10/3/2020
Eifel Grand Prix,7,55,1/4/2020
Spanish Grand Prix,8,7,8/10/2020
Italian Grand Prix,9,55,8/1/2020
Turkish Grand Prix,10,81,5/12/2020
70th Anniversary Grand Prix,11,39,5/4/2020
Turkish Grand Prix,12,32,1/22/2020
Emilia Romagna Grand Prix,13,97,1/27/2020
Eifel Grand Prix,14,76,10/26/2020
Russian Grand Prix,15,99,7/4/2020
Portugese Grand Prix,16,21,10/2/2020
Portugese Grand Prix,17,50,5/2/2020
Emilia Romagna Grand Prix,18,25,8/11/2020
Eifel Grand Prix,19,99,8/6/2020
Turkish Grand Prix,20,74,2/21/2020
Abu Dhabi Grand Prix,21,15,10/21/2020
Spanish Grand Prix,22,44,4/21/2020
Belgian Grand Prix,23,22,3/14/2020
British Grand Prix,24,57,4/20/2020
Belgian Grand Prix,25,64,11/22/2020
Tuscan Grand Prix,26,96,4/5/2020
British Grand Prix,27,45,10/10/2020
Belgian Grand Prix,28,69,2/25/2020
Bahrain Grand Prix,29,8,7/30/2020
Turkish Grand Prix,30,78,2/22/2020
British Grand Prix,31,6,12/29/2020
Italian Grand Prix,32,79,9/25/2020
Portugese Grand Prix,33,2,12/17/2020
Italian Grand Prix,34,40,9/28/2020
Belgian Grand Prix,35,100,5/24/2020
Abu Dhabi Grand Prix,36,95,2/7/2020
Belgian Grand Prix,37,10,8/15/2020
Portugese Grand Prix,38,69,2/14/2020
Belgian Grand Prix,39,87,1/21/2020
British Grand Prix,40,30,3/27/2020
Eifel Grand Prix,41,35,4/22/2020
Austrian Grand Prix,42,24,2/25/2020
Belgian Grand Prix,43,70,6/10/2020
British Grand Prix,44,28,12/30/2020
Russian Grand Prix,45,63,12/24/2020
Tuscan Grand Prix,46,84,3/24/2020
British Grand Prix,47,91,12/17/2020
Emilia Romagna Grand Prix,48,4,3/10/2020
Emilia Romagna Grand Prix,49,85,10/13/2020
Hungarian Grand Prix,50,12,6/26/2020
Bahrain Grand Prix,51,3,7/8/2020
Emilia Romagna Grand Prix,52,86,10/26/2020
Abu Dhabi Grand Prix,53,63,2/14/2020
Portugese Grand Prix,54,61,7/16/2020
Austrian Grand Prix,55,22,12/20/2020
Sakhir Grand Prix,56,57,9/20/2020
Tuscan Grand Prix,57,41,1/22/2020
Sakhir Grand Prix,58,78,5/10/2020
Russian Grand Prix,59,80,10/3/2020
Hungarian Grand Prix,60,89,2/17/2020
Tuscan Grand Prix,61,98,4/2/2020
Hungarian Grand Prix,62,90,3/19/2020
Eifel Grand Prix,63,30,4/21/2020
Styrian Grand Prix,64,74,5/26/2020
Styrian Grand Prix,65,60,2/27/2020
British Grand Prix,66,4,6/20/2020
70th Anniversary Grand Prix,67,95,6/29/2020
Spanish Grand Prix,68,96,11/6/2020
Tuscan Grand Prix,69,36,11/19/2020
Abu Dhabi Grand Prix,70,15,2/15/2020
British Grand Prix,71,22,1/2/2020
Hungarian Grand Prix,72,85,3/19/2020
Russian Grand Prix,73,36,9/26/2020
Austrian Grand Prix,74,39,6/1/2020
Italian Grand Prix,75,79,8/8/2020
British Grand Prix,76,35,5/31/2020
Austrian Grand Prix,77,97,6/22/2020
British Grand Prix,78,23,12/13/2020
British Grand Prix,79,15,5/30/2020
Emilia Romagna Grand Prix,80,43,6/25/2020
Portugese Grand Prix,81,9,4/13/2020
Tuscan Grand Prix,82,12,7/16/2020
Italian Grand Prix,83,89,12/12/2020
Sakhir Grand Prix,84,34,4/3/2020
Bahrain Grand Prix,85,71,11/11/2020
Russian Grand Prix,86,94,12/23/2020
Eifel Grand Prix,87,85,4/8/2020
Belgian Grand Prix,88,5,9/26/2020
Belgian Grand Prix,89,23,12/26/2020
Eifel Grand Prix,90,100,7/10/2020
70th Anniversary Grand Prix,91,100,5/26/2020
Tuscan Grand Prix,92,34,8/2/2020
Bahrain Grand Prix,93,58,4/15/2020
Sakhir Grand Prix,94,20,3/9/2020
Portugese Grand Prix,95,88,1/21/2020
Styrian Grand Prix,96,89,12/5/2020
Spanish Grand Prix,97,22,8/23/2020
Portugese Grand Prix,98,59,4/4/2020
Austrian Grand Prix,99,29,9/19/2020
Italian Grand Prix,100,18,4/3/2020
Hungarian Grand Prix,101,76,7/7/2020
Tuscan Grand Prix,102,71,7/10/2020
Bahrain Grand Prix,103,44,4/23/2020
Abu Dhabi Grand Prix,104,75,12/10/2020
Styrian Grand Prix,105,86,4/10/2020
Sakhir Grand Prix,106,96,1/13/2020
Russian Grand Prix,107,51,10/10/2020
Austrian Grand Prix,108,30,12/8/2020
Austrian Grand Prix,109,61,9/29/2020
Austrian Grand Prix,110,23,9/10/2020
Russian Grand Prix,111,48,3/31/2020
70th Anniversary Grand Prix,112,7,10/27/2020
British Grand Prix,113,99,5/22/2020
Portugese Grand Prix,114,86,12/17/2020
Russian Grand Prix,115,32,5/2/2020
Italian Grand Prix,116,79,11/30/2020
